ds,y,y_lag_12
1999-06-01,260918,244067.0
1999-07-01,262051,241431.0
1999-08-01,265089,240462.0
1999-09-01,253905,231243.0
1999-10-01,258040,244234.0
1999-11-01,264106,240991.0
1999-12-01,317659,288969.0
2000-01-01,236422,218126.0
2000-02-01,250580,220650.0
2000-03-01,279515,253550.0
2000-04-01,264417,250783.0
2000-05-01,283706,262113.0
2000-06-01,281288,260918.0
2000-07-01,271146,262051.0
2000-08-01,283944,265089.0
2000-09-01,269155,253905.0
2000-10-01,270899,258040.0
2000-11-01,276507,264106.0
2000-12-01,319958,317659.0
2001-01-01,250746,236422.0
2001-02-01,247772,250580.0
2001-03-01,280449,279515.0
2001-04-01,274925,264417.0
2001-05-01,296013,283706.0
2001-06-01,287881,281288.0
2001-07-01,279098,271146.0
2001-08-01,294763,283944.0
2001-09-01,261924,269155.0
2001-10-01,291596,270899.0
2001-11-01,287537,276507.0
2001-12-01,326202,319958.0
2002-01-01,255598,250746.0
2002-02-01,253086,247772.0
2002-03-01,285261,280449.0
2002-04-01,284747,274925.0
2002-05-01,300402,296013.0
2002-06-01,288854,287881.0
2002-07-01,295433,279098.0
2002-08-01,307256,294763.0
2002-09-01,273189,261924.0
2002-10-01,287540,291596.0
2002-11-01,290705,287537.0
2002-12-01,337006,326202.0
2003-01-01,268328,255598.0
2003-02-01,259051,253086.0
2003-03-01,293693,285261.0
2003-04-01,294251,284747.0
2003-05-01,312389,300402.0
2003-06-01,300998,288854.0
2003-07-01,309923,295433.0
2003-08-01,317056,307256.0
2003-09-01,293890,273189.0
2003-10-01,304036,287540.0
2003-11-01,301265,290705.0
2003-12-01,357577,337006.0
2004-01-01,281460,268328.0
2004-02-01,282444,259051.0
2004-03-01,319077,293693.0
2004-04-01,315191,294251.0
2004-05-01,328408,312389.0
2004-06-01,321044,300998.0
2004-07-01,328000,309923.0
2004-08-01,326317,317056.0
2004-09-01,313524,293890.0
2004-10-01,319726,304036.0
2004-11-01,324259,301265.0
2004-12-01,387155,357577.0
2005-01-01,293261,281460.0
2005-02-01,295062,282444.0
2005-03-01,339141,319077.0
2005-04-01,335632,315191.0
2005-05-01,345348,328408.0
2005-06-01,350945,321044.0
2005-07-01,351827,328000.0
2005-08-01,355701,326317.0
2005-09-01,333289,313524.0
2005-10-01,336134,319726.0
2005-11-01,343798,324259.0
2005-12-01,405608,387155.0
2006-01-01,318546,293261.0
2006-02-01,314051,295062.0
2006-03-01,361993,339141.0
2006-04-01,351667,335632.0
2006-05-01,373560,345348.0
2006-06-01,366615,350945.0
2006-07-01,362203,351827.0
2006-08-01,375795,355701.0
2006-09-01,346214,333289.0
2006-10-01,348796,336134.0
2006-11-01,356928,343798.0
2006-12-01,417991,405608.0
2007-01-01,328877,318546.0
2007-02-01,323162,314051.0
2007-03-01,374142,361993.0
2007-04-01,358535,351667.0
2007-05-01,391512,373560.0
2007-06-01,376639,366615.0
2007-07-01,372354,362203.0
2007-08-01,388016,375795.0
2007-09-01,353936,346214.0
2007-10-01,368681,348796.0
2007-11-01,377802,356928.0
2007-12-01,426077,417991.0
2008-01-01,342697,328877.0
2008-02-01,343937,323162.0
2008-03-01,372923,374142.0
2008-04-01,368923,358535.0
2008-05-01,397969,391512.0
2008-06-01,378490,376639.0
2008-07-01,383686,372354.0
2008-08-01,382852,388016.0
2008-09-01,350560,353936.0
2008-10-01,349884,368681.0
2008-11-01,335571,377802.0
2008-12-01,384286,426077.0
2009-01-01,310269,342697.0
2009-02-01,299488,343937.0
2009-03-01,328568,372923.0
2009-04-01,329866,368923.0
2009-05-01,347768,397969.0
2009-06-01,344439,378490.0
2009-07-01,348106,383686.0
2009-08-01,353473,382852.0
2009-09-01,324708,350560.0
2009-10-01,338630,349884.0
2009-11-01,339386,335571.0
2009-12-01,400264,384286.0
2010-01-01,314640,310269.0
2010-02-01,311022,299488.0
2010-03-01,360819,328568.0
2010-04-01,356460,329866.0
2010-05-01,365713,347768.0
2010-06-01,358675,344439.0
2010-07-01,362027,348106.0
2010-08-01,362682,353473.0
2010-09-01,346069,324708.0
2010-10-01,355212,338630.0
2010-11-01,365809,339386.0
2010-12-01,426654,400264.0
2011-01-01,335608,314640.0
2011-02-01,337352,311022.0
2011-03-01,387092,360819.0
2011-04-01,380754,356460.0
2011-05-01,391970,365713.0
2011-06-01,388636,358675.0
2011-07-01,384600,362027.0
2011-08-01,394548,362682.0
2011-09-01,374895,346069.0
2011-10-01,379364,355212.0
2011-11-01,391081,365809.0
2011-12-01,451669,426654.0
2012-01-01,355058,335608.0
2012-02-01,372523,337352.0
2012-03-01,414275,387092.0
2012-04-01,393035,380754.0
2012-05-01,418648,391970.0
2012-06-01,400996,388636.0
2012-07-01,396020,384600.0
2012-08-01,417911,394548.0
2012-09-01,385597,374895.0
2012-10-01,399341,379364.0
2012-11-01,410992,391081.0
2012-12-01,461994,451669.0
2013-01-01,375537,355058.0
2013-02-01,373938,372523.0
2013-03-01,421638,414275.0
2013-04-01,408381,393035.0
2013-05-01,436985,418648.0
2013-06-01,414701,400996.0
2013-07-01,422357,396020.0
2013-08-01,434950,417911.0
2013-09-01,396199,385597.0
2013-10-01,415740,399341.0
2013-11-01,423611,410992.0
2013-12-01,477205,461994.0
2014-01-01,383399,375537.0
2014-02-01,380315,373938.0
2014-03-01,432806,421638.0
2014-04-01,431415,408381.0
2014-05-01,458822,436985.0
2014-06-01,433152,414701.0
2014-07-01,443005,422357.0
2014-08-01,450913,434950.0
2014-09-01,420871,396199.0
2014-10-01,437702,415740.0
2014-11-01,437910,423611.0
2014-12-01,501232,477205.0
2015-01-01,397252,383399.0
2015-02-01,386935,380315.0
2015-03-01,444110,432806.0
2015-04-01,438217,431415.0
2015-05-01,462615,458822.0
2015-06-01,448229,433152.0
2015-07-01,457710,443005.0
2015-08-01,456340,450913.0
2015-09-01,430917,420871.0
2015-10-01,444959,437702.0
2015-11-01,444507,437910.0
2015-12-01,518253,501232.0
2016-01-01,400928,397252.0
2016-02-01,413554,386935.0
2016-03-01,460093,444110.0
2016-04-01,450935,438217.0
2016-05-01,471421,462615.0
